Artist,Title,Length
Kendrick Lamar,Alright,3:39
Robyn,Dancing On My Own,4:45
Beyoncé,Formation,3:26
Frank Ocean,Thinkin Bout You,3:20
Azealia Banks,212 (feat. Lazy Jay),3:23
Mitski,Your Best American Girl,3:32
Solange,Cranes in the Sky,4:10
Lana Del Rey,Video Games,4:42
Lil Uzi Vert,XO TOUR Llif3,3:02
Bill Callahan,Riding for the Feeling,6:05
Sky Ferreira,Everything Is Embarrassing,4:08
Chief Keef,I Don't Like (feat. Lil Reese),4:53
Angel Olsen,Shut Up Kiss Me,3:22
Rihanna,Work (feat. Drake),3:39
The 1975,Love It If We Made It,4:12
Jamie xx,Gosh,4:51
Kanye West,Runaway (feat. Pusha T),9:07
Vampire Weekend,Hannah Hunt,3:57
M83,Midnight City,4:01
Drake,"Hold On, We're Going Home (feat. Majid Jordan)",3:51
ANOHNI,Drone Bomb Me,4:10
ROSALÍA,Malamente,2:29
Todd Terje,Inspector Norse,6:40
FKA twigs,Cellophane,3:24
Bon Iver,Holocene,5:36
M.I.A.,Bad Girls,3:47
Beyoncé,Countdown,3:33
Joanna Newsom,Good Intentions Paving Co.,7:01
Cardi B,Bodak Yellow,3:43
Ariel Pink's Haunted Graffiti,Round and Round,5:08
Fiona Apple,Every Single Night,3:29
LCD Soundsystem,Dance Yrself Clean,8:56
Future Islands,Seasons (Waiting On You),3:46
Rae Sremmurd,Black Beatles (feat. Gucci Mane),4:51
Carly Rae Jepsen,Run Away with Me,4:11
Jai Paul,BTSTU,3:30
Kanye West,"Monster (feat. Jay-Z, Rick Ross, Nicki Minaj & Bon Iver)",6:18
SOPHIE,Bipp,3:00
Frank Ocean,Nights,5:07
Courtney Barnett,Avant Gardener,5:12
SZA,The Weekend,4:32
Lorde,The Louvre,4:31
Big Thief,Mary,5:28
Robyn,Call Your Girlfriend,3:47
The Knife,Full of Fire,9:16
Tame Impala,Let It Happen,7:46
Ariana Grande,"thank u, next",3:27
Gyptian,Hold You (Hold Yuh),3:52
Arcade Fire,Sprawl II (Mountains Beyond Mountains),5:25
Kendrick Lamar,"Bitch, Don’t Kill My Vibe (feat. JAY Z) [Remix]",4:38
Camp Cope,The Opener,3:40
Solange,Losing You,4:20
Disclosure,Latch (feat. Sam Smith),4:15
Bat for Lashes,Laura,4:26
Vince Staples,Norf Norf,3:03
Taylor Swift,All Too Well,5:29
Miguel,Adorn,3:13
David Bowie,Blackstar,9:57
Future,March Madness,4:04
EMA,California,4:35
Rihanna,We Found Love (feat. Calvin Harris),3:35
Bobby Shmurda,Hot N*gga,3:14
Phoebe Bridgers,Motion Sickness,3:49
Drake,Worst Behavior,4:30
King Krule,Out Getting Ribs,4:16
Kacey Musgraves,Slow Burn,4:06
FKA twigs,Two Weeks,4:07
Caribou,Can't Do Without You,3:56
Beach House,Zebra,4:48
Adele,Someone Like You,4:43
"Tyler, The Creator",Yonkers,4:09
Perfume Genius,Queen,3:50
Skrillex & Diplo,Where Are Ü Now (with Justin Bieber),4:10
DJ Koze,Pick Up,6:38
The National,Bloodbuzz Ohio,4:35
Kanye West,Ultralight Beam,5:20
Jeremih,Oui,3:58
Lana Del Rey,The greatest,5:00
Blood Orange,You're Not Good Enough,4:21
Cass McCombs,County Line,5:37
DeJ Loaf,Try Me,3:37
Deerhunter,Desire Lines,6:44
Kelela,Bank Head (Extended),5:02
Charli XCX,Track 10,5:26
Destroyer,Chinatown,3:49
Rich Gang,Lifestyle (feat. Young Thug & Rich Homie Quan),4:29
Japandroids,Younger Us,3:32
Frank Ocean,Pyramids,9:52
HAIM,The Wire,4:05
Meek Mill,Dreams and Nightmares,3:50
Radiohead,True Love Waits,4:43
Hurray for the Riff Raff,Pa'lante,5:53
Rihanna,Bitch Better Have My Money,3:39
Thundercat,Them Changes,3:07
Snail Mail,Pristine,4:55
D’Angelo and The Vanguard,Really Love,5:44
Mac DeMarco,Ode to Viceroy,3:53
Young Thug & Jamie xx,I Know There's Gonna Be (Good Times) [feat. Popcaan],3:33
TNGHT,Higher Ground,3:19
Katy Perry,Teenage Dream,3:47
Erykah Badu,Hello,5:19
Amen Dunes,Miki Dora,5:03
Kendrick Lamar,DNA.,3:05
Christine and the Queens,Tilted,3:53
Fetty Wap,Trap Queen,3:42
girlpool,Before the World Was Big,2:21
Drake,Nice For What,3:30
Chairlift,I Belong In Your Arms,3:27
A$AP Ferg,Shabba (feat. A$AP Rocky),4:35
Paramore,Ain't It Fun,4:56
Jenny Hval,Conceptual Romance,4:32
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),6:09
The Weeknd,The Morning,5:15
Burial,Kindred,11:26
Usher,Climax,3:52
Travis Scott,SICKO MODE,5:12
Fleet Foxes,Helplessness Blues,5:03
Justin Bieber,Sorry,3:20
DJ Rashad,Feelin (feat. Spinn & Taso),4:30
Playboi Carti,Magnolia,3:01
Clairo,Bags,4:20
Nicki Minaj,Super Bass,3:20
Lykke Li,I Follow Rivers (The Magician Remix),4:41
Ciara,Ride (feat. Ludacris),5:26
James Blake,CMYK,3:39
Lorde,Royals,3:10
A$AP Rocky,Peso,2:50
Chromatics,Kill For Love,4:17
Kurt Vile,Baby's Arms,3:56
Future,Mask Off,3:24
Kamasi Washington,Truth,13:30
Robyn,Honey,4:54
cupcakKe,Duck Duck Goose,3:13
Yaeji,Drink I'm Sippin On,3:21
Drake,Hotline Bling,4:27
Iceage,The Lord's Favorite,3:49
Rae Sremmurd,No Type,3:20
Gil Scott-Heron,New York Is Killing Me,4:29
Rihanna,Needed Me,3:11
Rick Ross,B.M.F. (Blowin' Money Fast) [feat. Styles P],4:10
Spoon,Inside Out,5:01
Charli XCX & Christine and the Queens,Gone,4:06
Gunna,Sold Out Dates (feat. Lil Baby),2:46
Ella Mai,Boo'd Up,4:16
GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),2:56
Björk,Stonemilker,6:49
Nicki Minaj,Beez In the Trap (feat. 2 Chainz),4:28
Gang Gang Dance,Glass Jar,11:21
Miley Cyrus,Wrecking Ball,3:41
Danny Brown,30,3:18
Japanese Breakfast,Everybody Wants to Love You,2:12
Kanye West,Blood On the Leaves,6:00
Girl Unit,Wut,6:59
Beyoncé,1+1,4:34
Waka Flocka Flame,Hard In da Paint,4:06
Katy B,Katy On a Mission,3:39
Odd Future,Oldie,10:36
Vybz Kartel,Clarks (feat. Popcaan & Gaza Slim),3:04
Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),5:04
Davido,Fall,4:00
Jessica Pratt,"Back, Baby",3:55
Bad Bunny,Caro,3:49
Tinashe,2 On (feat. ScHoolboy Q),3:47
King Krule,Dum Surfer,4:23
St. Vincent,New York,2:34
Lil Peep,Kiss,4:10
Adele,Rolling in the Deep,3:48
Sleep,Marijuanaut's Theme,6:40
DJ Khaled,"I'm On One (feat. Drake, Rick Ross & Lil Wayne)",4:58
Florence + the Machine,Shake It Out,4:37
Nicki Minaj,Come On a Cone,3:05
Sampha,(No One Knows Me) Like the Piano,3:38
A Tribe Called Quest,The Space Program,5:41
The 1975,The Sound,4:08
Rich Kidz,My Life,3:43
Sons Of Kemet,My Queen Is Harriet Tubman,5:40
Migos,Bad and Boujee (feat. Lil Uzi Vert),5:43
Beyoncé,Xo,3:35
Young M.A,Ooouuu,3:54
Frank Ocean,Chanel,3:30
Sharon Van Etten,Seventeen,4:25
Skepta,Shutdown,3:08
Thom Yorke,Dawn Chorus,5:23
Future,Incredible,4:08
J Balvin & Willy William,Mi Gente (feat. Beyoncé),3:29
Ty Dolla $ign,Paranoid (feat. B.o.B),3:36
Rico Nasty,Smack a Bitch,2:18
Tame Impala,Feels Like We Only Go Backwards,3:12
Lil B,Wonton Soup,5:51
Cloud Nothings,I'm Not Part of Me,4:35
John Maus,Believer,4:05
Icona Pop,I Love It (feat. Charli XCX),2:37
dvsn,The Line,7:11
Stormzy,Big For Your Boots,3:58
Avicii,Levels,5:38
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
